Lagenorhynchus_obliquidens_(USNM_504413),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
L20,2.19,4.83,4.72,8.62,1.43,68,1.95,1.44,0.15,0.39,5.25,6.93,1.34,69
L21,2.24,4.85,4.81,8.29,1.47,71,1.93,1.38,0.34,0.42,5.5,6.56,1.32,69
Ca1,2.26,4.97,4.93,7.79,1.58,74,2.1,1.36,0.48,0.37,5.1,6.49,1.39,67
Ca2,2.24,5.1,5.05,7.66,1.49,60,2.13,1.31,0.87,0.6,5.55,6.6,1.44,64
Ca3,2.25,5.1,4.97,7.47,1.59,62,2.09,1.32,1.02,0.54,5.65,6.33,1.36,65
Ca4,2.32,5.02,4.85,7.28,1.54,60,2,1.36,1.47,0.53,6,6.16,1.47,67
Ca5,2.38,5.05,4.79,6.58,1.56,62,1.87,1.41,1.3,0.74,6.1,5.74,1.45,63
Ca6,2.37,5.11,4.99,6.18,1.45,59,1.89,1.26,1.3,0.68,6.1,5.61,1.34,65
Ca7,2.41,5.07,4.98,5.86,1.73,62,1.88,1.68,1.71,0.69,6.1,5.05,1.45,68
Ca8,2.5,5.16,5.05,5.77,1.74,66,1.61,1.72,1.53,0.59,5.8,5.88,1.91,70
Ca9,2.58,5.33,5.23,5.73,1.59,62,1.53,1.6,1.39,0.62,5.45,4.73,1.96,72
Ca10,2.6,5.35,5.28,5.29,1.75,62,1.41,1.69,1.49,0.69,4.9,4.15,1.79,74
Ca11,2.68,5.35,5.24,5.25,1.81,58,1.33,1.72,1.13,0.65,4.45,3.4,1.83,73
Ca12,2.82,5.3,5.39,4.54,1.7,61,1.01,1.74,1.18,0.64,3.9,2.73,1.67,78
Ca13,2.88,5.26,5.37,3.95,1.76,70,1.01,1.92,1.34,0.71,3.3,2,1.46,81
Ca14,2.95,5.51,5.5,2.82,1.84,73,1.07,1.98,0.7,0.81,2.8,1.46,1.24,77
Ca15,3.06,4.99,5.41,2.52,1.85,88,1,1.86,0.82,0.78,2.35,0.81,0.99,78
Ca16,3.18,4.55,5.15,2.22,1.93,108,0.78,2.05,0.76,0.66,1.6,0,0,NA
Ca17,3.3,4.25,5.25,1.85,2.01,109,0.57,2.11,0.53,0.67,1.15,0,0,NA
Ca18,3.37,3.95,5.24,1.48,1.86,106,0.53,2.23,0.8,0.64,0.85,0,0,NA
Ca19,3.27,3.81,5.08,1.01,1.79,96,0.46,2.28,0.62,0.45,0.5,0,0,NA
Ca20,3.16,3.65,4.83,0.55,1.5,88,0.37,2,0.48,0.39,0.35,0,0,NA
Ca21,2.68,3.54,4.31,0,0,NA,0.42,1.44,0,0,NA,0,0,NA
Ca22,1.91,3.61,3.93,0,0,NA,0,0,0,0,NA,0,0,NA
