Delphinus_delphis_(USNM_593770),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
Ca4,2.1,4.02,4.03,6.65,1.46,65,1.88,1.13,1.06,0.61,5.25,4.88,0.96,60
Ca5,2.15,4.01,4.02,6.42,1.45,66,1.9,1.26,1.02,0.51,5,4.61,1.18,63
Ca6,2.17,4,4.01,6.28,1.6,62,1.81,1.34,1.09,0.65,5,4.45,1.2,68
Ca7,2.31,4.05,4.22,5.78,1.63,64,1.66,1.4,1.25,0.76,4.85,4.1,1.41,67
Ca8,2.33,4.09,4.22,5.86,1.8,60,1.35,1.52,1.12,0.68,4.45,3.81,1.45,67
Ca9,2.38,4.01,4.22,5.32,1.79,63,1.17,1.45,1.04,0.64,4,3.29,1.57,65
Ca10,2.36,3.96,4.24,4.99,1.78,63,1.04,1.49,1.03,0.63,3.8,2.62,1.46,64
Ca11,2.49,3.91,4.2,NA,NA,NA,0.88,1.39,0.85,0.61,3.2,2.22,1.38,63
Ca12,2.58,3.96,4.31,NA,NA,NA,0.68,1.45,0.74,0.62,2.85,1.66,1.12,60
Ca13,2.66,3.88,4.24,3.72,2.24,70,0.65,1.55,0.9,0.6,2.4,0.95,0.98,62
Ca14,2.7,3.74,4.23,3.09,1.94,96,0.57,1.55,0.99,0.62,1.95,0.38,0.99,68
Ca15,2.86,3.52,4.34,2.61,2.21,108,0.49,1.77,0.79,0.65,1.75,0,0,NA
Ca16,2.9,3.24,4.48,2.02,2.05,113,0.45,1.75,0.74,0.65,1.35,0,0,NA
Ca17,2.8,3.05,4.47,1.6,2.2,116,0.33,1.96,0.61,0.48,0.75,0,0,NA
Ca18,2.69,2.94,4.53,0.93,1.91,114,0.24,1.95,0.54,0.39,0.55,0,0,NA
Ca19,2.62,2.83,4.2,0.51,1.72,103,0.2,1.91,0.37,0.24,0.4,0,0,NA
Ca20,2.5,2.84,3.81,0.19,1.46,99,0.19,1.54,0.27,0.24,0.25,0,0,NA
Ca21,2.21,3,3.21,0,0,NA,0,0,0,0,NA,0,0,NA
Ca22,1.88,3.19,3.14,0,0,NA,0,0,0,0,NA,0,0,NA
