Lagenorhynchus_obliquidens_(USNM_504412),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
L5,2.16,3.97,3.77,9.56,1.35,82,2.73,1.42,0.33,0.67,3.55,9.35,1.15,94
L6,2.1,3.98,3.87,9.7,1.23,80,2.75,1.33,0.31,0.62,3.65,9.05,1.26,90
L7,2.02,4.02,3.95,9.82,1.28,77,2.58,1.31,0.37,0.8,3.7,8.61,1.19,87
L8,2,3.95,3.96,9.72,1.34,76,2.73,1.42,0.41,0.78,3.9,8.53,1.15,84
L9,1.96,3.97,4.02,10.01,1,77,2.64,1.18,0.27,0.39,3.2,8.26,1.16,82
L10,1.97,4.13,4.02,10.16,1.02,73,2.5,1.32,0,0,NA,7.91,1.12,78
L11,1.98,4.04,4.18,10.09,1.09,71,2.56,1.24,0,0,NA,7.69,1.14,78
L12,1.97,4.03,4.05,10.23,1.03,66,2.37,1.33,0,0,NA,7.66,1.2,77
L13,1.96,4.08,4.09,10.01,1.03,67,2.29,1.23,0,0,NA,7.72,1.12,74
L14,1.93,4.05,4.11,9.74,1.08,70,2.17,1.35,0,0,NA,7.74,1.11,74
L15,1.94,4.14,4.1,9.57,0.95,71,2.13,1.17,0,0,NA,7.69,1.09,71
L16,1.97,4.23,4.11,9.01,1.12,70,2.21,1.22,0,0,NA,7.41,1.07,71
L17,1.96,4.18,4.07,8.86,1.03,70,2,1.27,0,0,NA,7.41,1.03,71
L18,2,4.25,4.16,8.53,1.02,70,2.08,1.24,0,0,NA,7.26,1.12,68
L19,2,4.23,4.19,8.71,1.13,67,1.95,1.24,0,0,NA,7.16,1.02,68
L20,2.03,4.29,4.27,8.45,1.06,66,1.86,1.2,0,0,NA,6.93,1.02,66
L21,2.03,4.33,4.33,8.21,1.22,66,1.87,1.26,0.22,0.45,5.2,6.85,1.01,65
L22,2.02,4.36,4.43,8.28,1.42,64,1.86,1.23,0.56,0.29,5.3,6.71,1.13,62
L23,2.05,4.41,4.42,7.92,1.26,66,1.75,1.28,0.84,0.59,5.75,6.55,1.19,60
Ca1,2.02,4.37,4.5,7.96,1.17,60,1.89,1.3,1.24,0.51,5.75,6.27,1.01,62
Ca2,2.07,4.39,4.48,7.38,1.34,62,1.92,1.19,1.17,0.59,5.9,6.24,1.17,64
Ca3,2.1,4.39,4.52,7.17,1.18,60,1.67,1.25,1.31,0.62,5.95,5.75,1.16,66
Ca4,2.14,4.44,4.56,7,1.43,58,1.6,1.27,1.65,0.68,6.1,5.49,1.34,73
Ca5,2.14,4.51,4.57,6.56,1.48,55,1.49,1.31,1.7,0.53,6.2,4.94,1.45,76
Ca6,2.22,4.52,4.61,6.19,1.42,54,1.58,1.33,1.76,0.74,5.9,4.8,1.62,79
Ca7,2.27,4.6,4.61,5.77,1.61,57,1.36,1.51,1.48,0.64,5.7,4.4,1.52,83
Ca8,2.33,4.64,4.69,5.42,1.53,56,1.15,1.61,1.56,0.84,5.25,4.14,1.63,82
Ca9,2.42,4.63,4.65,4.78,1.44,62,1.05,1.57,1.52,0.63,4.85,3.75,1.55,78
Ca10,2.49,4.71,4.71,4.7,1.47,69,0.96,1.65,1.67,0.64,4.35,3.11,1.54,77
Ca11,2.55,4.72,4.76,4.04,1.42,75,0.92,1.62,1.54,0.61,3.8,2.5,1.31,77
Ca12,2.59,4.63,4.79,3.64,1.5,87,0.75,1.61,1.32,0.59,3.45,2.09,1.33,78
Ca13,2.71,4.44,4.68,3.27,1.55,114,0.66,1.72,0.99,0.78,2.9,1.33,1.01,76
Ca14,2.82,4.25,4.84,2.73,1.6,122,0.63,1.62,0.95,0.75,2.6,0.55,0.81,80
Ca15,2.99,4,4.79,2.32,1.8,120,0.6,1.82,0.75,0.85,1.8,0,0,NA
Ca16,3.18,3.68,4.81,1.83,1.82,121,0.51,1.98,0.77,0.67,1.5,0,0,NA
Ca17,3.26,3.48,4.72,1.12,1.9,118,0.43,2.1,0.55,0.52,1,0,0,NA
Ca18,3.16,3.34,4.57,0.74,1.96,107,0.37,2.12,0.49,0.39,0.6,0,0,NA
Ca19,2.82,3.29,4.04,0.24,1.6,103,0.35,1.5,0.29,0.34,0.45,0,0,NA
Ca20,1.98,3.5,3.9,0,0,NA,0,0,0,0,NA,0,0,NA
