Stenella_frontalis_(USNM_21915),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
Ca5,2.48,3.98,3.9,7.19,1.39,69,1.78,1.54,1.15,0.48,5.55,5.36,1.54,67
Ca6,2.48,3.98,4.02,6.63,1.36,66,1.91,1.53,1.32,0.46,5.7,4.87,1.33,64
Ca7,2.58,4.02,4.07,6.62,1.43,66,1.63,1.65,1.29,0.54,5.55,4.75,1.25,67
Ca8,2.61,4.02,4.18,6.42,1.52,65,1.51,1.68,1.08,0.54,5.1,4.75,1.45,65
Ca9,2.67,4.07,4.14,5.9,1.52,65,1.27,1.71,1.23,0.57,4.75,4.33,1.76,65
Ca10,2.74,4.21,4.35,5.64,1.48,69,1.21,1.68,0.96,0.63,4.15,3.79,1.54,61
Ca11,2.78,4.13,4.29,5.23,1.67,72,1.06,1.73,1.05,0.57,4,3.23,1.43,59
Ca12,2.82,4.12,4.51,4.9,1.73,75,1.03,1.64,0.81,0.71,3.3,2.55,1.35,58
Ca13,2.93,4.06,4.36,4.4,1.71,82,1.11,1.77,0.8,0.67,3.15,1.98,1.15,57
Ca14,3.02,3.84,4.34,4.1,1.99,91,0.85,1.77,0.68,0.71,2.6,1.17,1.09,61
Ca15,3.11,3.66,4.25,3.62,1.65,97,0.81,1.92,0.62,0.63,2.1,0.57,0.93,68
Ca16,3.2,3.64,4.43,3.1,2.34,100,0.79,1.94,0.5,0.62,1.9,0,0,NA
Ca17,3.2,3.43,4.3,2.28,2.01,103,0.72,2.19,0.62,0.56,1.4,0,0,NA
Ca18,3.07,3.4,4.31,1.6,1.83,111,0.53,2.3,0.5,0.48,1,0,0,NA
Ca19,2.99,3.19,4.13,1.1,1.88,106,0.38,2.33,0.42,0.31,0.7,0,0,NA
Ca20,2.79,3.16,3.93,0.53,1.79,105,0.33,2.02,0.23,0.22,0.4,0,0,NA
Ca21,2.1,3.38,3.41,0,0,NA,0.25,1.2,0,0,NA,0,0,NA
