Phocoenoides_dalli_(USNM_504417),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
Ca10,1.89,4.4,4.29,12.66,1.56,69,1.94,1.24,0.35,0.31,4.2,4.4,1.13,68
Ca11,1.85,4.39,4.33,12.26,1.62,70,1.85,1.32,0.44,0.49,4,4.24,1.16,69
Ca12,1.9,4.35,4.35,12.15,1.74,72,1.75,1.32,0.46,0.57,3.95,3.89,1.15,68
Ca13,1.87,4.36,4.44,11.72,1.73,75,1.75,1.35,0.35,0.33,3.8,3.57,1.16,66
Ca14,1.85,4.36,4.35,11.46,1.71,78,1.74,1.38,0.4,0.46,3.6,3.16,1.29,63
Ca15,1.85,4.44,4.55,10.93,1.78,78,1.64,1.35,0.4,0.48,3.35,2.77,1.34,61
Ca16,1.79,4.45,4.62,10.54,1.83,81,1.24,1.35,0.44,0.43,3.05,2.18,1.1,61
Ca17,1.77,4.49,4.54,10.01,1.85,87,1.08,1.26,0.33,0.35,2.9,1.65,0.99,60
Ca18,1.72,4.37,4.59,9.09,1.97,91,1.03,1.36,0.32,0.29,2.4,1.1,0.86,60
Ca19,1.75,4.29,4.48,8.11,1.87,95,0.88,1.36,0.33,0.46,2.5,0.73,0.75,60
Ca20,1.75,4.2,4.67,7.21,1.76,100,0.7,1.11,0.3,0.51,1.85,0.55,0.53,62
Ca21,1.77,4.05,4.5,6.06,1.62,104,0.65,1.12,0.29,0.38,1.4,0.42,0.55,67
Ca22,1.75,3.8,4.64,5.07,1.69,109,0.58,1.12,0.35,0.41,1.1,0,0,NA
Ca23,1.73,3.62,4.7,4.14,1.71,108,0.45,1.1,0.29,0.37,0.75,0,0,NA
Ca24,1.73,3.4,4.8,3.32,1.69,103,0.42,1.21,0.33,0.46,0.6,0,0,NA
Ca25,1.7,3.44,4.72,2.81,1.54,98,0.46,1.15,0.38,0.38,0.4,0,0,NA
Ca26,1.65,3.22,4.69,2.16,1.49,93,0.54,1.13,0,0,NA,0,0,NA
Ca27,1.64,3.12,4.53,1.57,1.36,88,0.5,1.11,0.28,0.26,0.25,0,0,NA
Ca28,1.61,3.01,4.38,0.81,1.01,84,0.38,0.96,0,0,NA,0,0,NA
Ca29,1.56,3.02,4.25,0,0,NA,0.29,0.75,0,0,NA,0,0,NA
Ca30,1.41,3.11,3.87,0,0,NA,0.35,0.68,0,0,NA,0,0,NA
Ca31,1.29,3.2,3.53,0,0,NA,0,0,0,0,NA,0,0,NA
Ca32,1.19,3.16,3.29,0,0,NA,0,0,0,0,NA,0,0,NA
